Start Time,End Time,Category,Timestamp,Heart Rate,Source Name
21/09/22 2:19,21/09/22 2:45,Light/Core,21/09/22 2:19,62,Apple Watch SE 2020
21/09/22 2:45,21/09/22 3:00,Deep,21/09/22 2:44,64,Apple Watch SE 2020
21/09/22 3:00,21/09/22 3:08,Light/Core,21/09/22 2:59,63,Apple Watch SE 2020
21/09/22 3:08,21/09/22 3:32,REM,21/09/22 3:05,60,Apple Watch SE 2020
21/09/22 3:32,21/09/22 3:52,Light/Core,21/09/22 3:34,63,Apple Watch SE 2020
21/09/22 3:52,21/09/22 4:00,Deep,21/09/22 3:54,63,Apple Watch SE 2020
21/09/22 4:00,21/09/22 4:06,Light/Core,21/09/22 3:59,62,Apple Watch SE 2020
21/09/22 4:06,21/09/22 4:27,Deep,21/09/22 4:04,63,Apple Watch SE 2020
21/09/22 4:27,21/09/22 4:55,Light/Core,21/09/22 4:25,64,Apple Watch SE 2020
21/09/22 4:55,21/09/22 4:56,REM,21/09/22 4:54,60,Apple Watch SE 2020
21/09/22 4:56,21/09/22 5:02,Light/Core,21/09/22 4:54,60,Apple Watch SE 2020
21/09/22 5:02,21/09/22 5:03,REM,21/09/22 5:02,59,Apple Watch SE 2020
21/09/22 5:03,21/09/22 5:05,Light/Core,21/09/22 5:02,59,Apple Watch SE 2020
21/09/22 5:05,21/09/22 5:17,REM,21/09/22 5:04,59,Apple Watch SE 2020
21/09/22 5:17,21/09/22 6:14,Light/Core,21/09/22 5:20,60,Apple Watch SE 2020
21/09/22 6:14,21/09/22 6:15,Awake,21/09/22 6:16,58,Apple Watch SE 2020
21/09/22 6:15,21/09/22 6:24,Light/Core,21/09/22 6:16,58,Apple Watch SE 2020
21/09/22 6:24,21/09/22 6:25,REM,21/09/22 6:24,60,Apple Watch SE 2020
21/09/22 6:25,21/09/22 6:27,Light/Core,21/09/22 6:24,60,Apple Watch SE 2020
21/09/22 6:27,21/09/22 6:44,REM,21/09/22 6:29,59,Apple Watch SE 2020
21/09/22 6:44,21/09/22 6:45,Awake,21/09/22 6:44,59,Apple Watch SE 2020
21/09/22 6:45,21/09/22 7:00,REM,21/09/22 6:44,59,Apple Watch SE 2020
